0;2;13450
1;4;15309
2;8;17194
3;16;18987
4;32;20784
5;33;22652
6;66;25056
7;67;26628
8;134;28263
9;135;29949
10;270;31767
11;271;33537
12;542;38159
13;1084;39873
14;2168;40496
15;4336;41119
16;8672;41743
17;8673;42365
18;17346;42993
19;17347;43617
20;34694;59117
21;69388;59748
22;138776;60348
23;138777;60972
24;277554;61578
25;277555;62196
26;555110;62790
27;555111;63418
28;1110222;64042
29;1110223;64662
30;2220446;65264
31;4440892;65890
32;8881784;66499
33;17763568;67135
34;35527136;67772
35;71054272;68442
36;71054273;69050
37;142108546;69790
38;142108547;70414
39;284217094;71303
40;568434188;72473
41;1136868376;82664
42;1136868377;85109
43;2273736754;90241
44;4547473508;97508
45;9094947016;111406
46;9094947017;122497
47;18189894034;147303
48;18189894035;150792
